ABC,ABC XYZ Bucket,Country1,Country2,Month,prodHier1,prodHier2,prodHier3,prodHier4,prodHier5,prodHier6,prodHier7,prodHier8,prodHier9,State,Time Stamp,Updated brand,XYZ,Abs Error,Accuracy Calculation,Bias,Error,Historical Forecast,Quarter,sales contribution,salesValue,Updated Actual,Week,Year
C,CY,,,April,India,west,Personal Wash,Soap,Brand1,AGNA1H,HA01,HA01-AGNA1H,GT,Goa,4/1/2022,Brand1,Y,3.003240779,0.761339811,-0.238660189,-3.003240779,9.580511851,1,2.06,12.58375263,12.58375263,13,2022
C,CY,,,May,India,west,Personal Wash,Soap,Brand1,AGNA1H,HA01,HA01-AGNA1H,GT,Goa,5/1/2022,Brand1,Y,1.98601265,0.863531094,-0.136468906,-1.98601265,12.56684565,1,2.06,14.5528583,14.5528583,18,2022
C,CY,,,June,India,west,Personal Wash,Soap,Brand1,AGNA1H,HA01,HA01-AGNA1H,GT,Goa,6/1/2022,Brand1,Y,1.87626133,0.854030046,0.145969954,1.87626133,14.73001156,1,2.06,12.85375023,12.85375023,22,2022
C,CZ,,,April,USA,Mid West,Personal Wash,Soap,Brand1,AGNA57S,HA01,HA01-AGNA57S,GT,Illinois,4/1/2022,Brand1,Z,1.142922705,0.394676622,0.605323378,1.142922705,3.031041926,1,1.14,1.888119221,1.888119221,13,2022
C,CZ,,,May,USA,Mid West,Personal Wash,Soap,Brand1,AGNA57S,HA01,HA01-AGNA57S,GT,Illinois,5/1/2022,Brand1,Z,1.40083721,0.236239698,0.763760302,1.40083721,3.23496921,1,1.14,1.834132,1.834132,18,2022
C,CZ,,,June,USA,Mid West,Personal Wash,Soap,Brand1,AGNA57S,HA01,HA01-AGNA57S,GT,Illinois,6/1/2022,Brand1,Z,1.406676891,0.095056116,0.904943884,1.406676891,2.961112383,1,1.14,1.554435492,1.554435492,22,2022
C,CZ,,,April,India,South,Personal Wash,Soap,Brand1,AGNS57S,HA01,HA01-AGNS57S,GT,Keral,4/1/2022,Brand1,Z,0.427969781,0.598948537,0.401051463,0.427969781,1.495089141,1,1.14,1.06711936,1.06711936,13,2022
C,CZ,,,May,India,South,Personal Wash,Soap,Brand1,AGNS57S,HA01,HA01-AGNS57S,GT,Keral,5/1/2022,Brand1,Z,0.408729806,0.657201632,0.342798368,0.408729806,1.601062806,1,1.14,1.192333,1.192333,18,2022
C,CZ,,,June,India,South,Personal Wash,Soap,Brand1,AGNS57S,HA01,HA01-AGNS57S,GT,Keral,6/1/2022,Brand1,Z,0.379193212,0.654157702,0.345842298,0.379193212,1.47562709,1,1.14,1.096433878,1.096433878,22,2022
C,CY,,,April,USA,North East,Personal Wash,Soap,Brand1,AGNSCH,HA01,HA01-AGNSCH,GT,Vermont,4/1/2022,Brand1,Y,1.610311505,0.818324136,-0.181675864,-1.610311505,7.253339771,1,2.06,8.863651276,8.863651276,13,2022
C,CY,,,May,USA,North East,Personal Wash,Soap,Brand1,AGNSCH,HA01,HA01-AGNSCH,GT,Vermont,5/1/2022,Brand1,Y,1.862181597,0.824894002,-0.175105998,-1.862181597,8.772414703,1,2.06,10.6345963,10.6345963,18,2022
C,CY,,,June,USA,North East,Personal Wash,Soap,Brand1,AGNSCH,HA01,HA01-AGNSCH,GT,Vermont,6/1/2022,Brand1,Y,0.373822625,0.962462702,-0.037537298,-0.373822625,9.584875648,1,2.06,9.958698273,9.958698273,22,2022
A,AX,,,April,USA,Mid West,Hair Color,Creme,Brand2,BMBB2T,HA01,HA01-BMBB2T,GT,Indiana,4/1/2022,Brand2,X,0.288010128,0.994068253,-0.005931747,-0.288010128,48.26600598,1,42.96,48.55401611,48.55401611,13,2022
A,AX,,,May,USA,Mid West,Hair Color,Creme,Brand2,BMBB2T,HA01,HA01-BMBB2T,GT,Indiana,5/1/2022,Brand2,X,19.91931217,0.723932406,-0.276067594,-19.91931217,52.23443793,1,42.96,72.1537501,72.1537501,18,2022
A,AX,,,June,USA,Mid West,Hair Color,Creme,Brand2,BMBB2T,HA01,HA01-BMBB2T,GT,Indiana,6/1/2022,Brand2,X,4.463424548,0.900309768,0.099690232,4.463424548,49.23636232,1,42.96,44.77293777,44.77293777,22,2022
A,AY,,,April,USA,North East,Hair Color,Powder,Brand2,BPSK9,HA01,HA01-BPSK9,GT,Rhode Island,4/1/2022,Brand2,Y,7.856084789,0.786578474,0.213421526,7.856084789,44.66626481,1,32.06,36.81018002,36.81018002,13,2022
A,AY,,,May,USA,North East,Hair Color,Powder,Brand2,BPSK9,HA01,HA01-BPSK9,GT,Rhode Island,5/1/2022,Brand2,Y,1.478783508,0.956725251,0.043274749,1.478783508,35.65075531,1,32.06,34.1719718,34.1719718,18,2022
A,AY,,,June,USA,North East,Hair Color,Powder,Brand2,BPSK9,HA01,HA01-BPSK9,GT,Rhode Island,6/1/2022,Brand2,Y,25.83575143,0.579315541,-0.420684459,-25.83575143,35.57785889,1,32.06,61.41361032,61.41361032,22,2022
B,BY,,,April,India,East,Fabric Care,Liquid Detergent,Brand3,CEBR1,HA01,HA01-CEBR1,GT,Arunachal Pradesh,4/1/2022,Brand3,Y,2.755140837,0.663127917,-0.336872083,-2.755140837,5.42345566,1,6.89,8.178596497,8.178596497,13,2022
B,BY,,,May,India,East,Fabric Care,Liquid Detergent,Brand3,CEBR1,HA01,HA01-CEBR1,GT,Arunachal Pradesh,5/1/2022,Brand3,Y,2.535420573,0.712633074,-0.287366926,-2.535420573,6.287517427,1,6.89,8.822938,8.822938,18,2022
B,BY,,,June,India,East,Fabric Care,Liquid Detergent,Brand3,CEBR1,HA01,HA01-CEBR1,GT,Arunachal Pradesh,6/1/2022,Brand3,Y,1.151595598,0.864221102,-0.135778898,-1.151595598,7.329807753,1,6.89,8.481403351,8.481403351,22,2022
C,CZ,,,April,India,South,Fabric Care,Liquid Detergent,Brand3,CEPR4,HA01,HA01-CEPR4,GT,Telangana,4/1/2022,Brand3,Z,2.395632588,0.137833753,0.862166247,2.395632588,5.174252831,1,1.14,2.778620243,2.778620243,13,2022
C,CZ,,,May,India,South,Fabric Care,Liquid Detergent,Brand3,CEPR4,HA01,HA01-CEPR4,GT,Telangana,5/1/2022,Brand3,Z,0.203435128,0.895011812,0.104988188,0.203435128,2.141130528,1,1.14,1.9376954,1.9376954,18,2022
C,CZ,,,June,India,South,Fabric Care,Liquid Detergent,Brand3,CEPR4,HA01,HA01-CEPR4,GT,Telangana,6/1/2022,Brand3,Z,0.568599723,0.708024521,0.291975479,0.568599723,2.516022585,1,1.14,1.947422862,1.947422862,22,2022
B,BZ,,,April,India,South,Fabric Care,Liquid Detergent,Brand3,CESR3,HA01,HA01-CESR3,GT,Tamil Nadu,4/1/2022,Brand3,Z,0.414887303,0.817889858,-0.182110142,-0.414887303,1.863334544,1,2.2,2.278221846,2.278221846,13,2022
B,BZ,,,May,India,South,Fabric Care,Liquid Detergent,Brand3,CESR3,HA01,HA01-CESR3,GT,Tamil Nadu,5/1/2022,Brand3,Z,1.5326884,,-1,-1.5326884,0,1,2.2,1.5326884,0,18,2022
